Time,Upstream1,Upstream2,Upstream3
0,0.99999999,0.12,1.2
900,26.74300002,0.648579999,1.2318
1800,136.717,6.50979999,12.318
2700,136.8,6.58179999,12.318
3600,136.983,6.60590001,12.69999999
4500,137.246,6.60590001,12.89199999
5400,137.553,6.60590001,13.11699999
6300,137.87,6.63,13.50699999
7200,138.173,6.67839999,13.70300001
8100,138.459,6.72680001,13.93299999
9000,138.732,6.77540001,14.33000001
9900,138.998,6.84860001,14.76399999
10800,139.262,6.92199999,15.168
11700,139.526,7.04510001,16.023
12600,139.79,7.21869999,17.56700001
13500,140.055,7.419,19.38099999
14400,140.319,7.64690001,22.455
15300,140.581,7.8258,26.775
16200,140.836,8.05820001,32.77899999
17100,141.083,8.29310001,38.92899999
18000,141.317,8.55699999,44.58800001
18900,141.54,8.90469999,48.846
19800,141.751,9.25749999,51.558
20700,141.951,9.67089999,52.938
21600,142.155,10.14759999,53.99799999
22500,142.364,10.66149999,53.66199999
23400,142.574,11.24360001,53.66199999
24300,142.776,11.8371,53.66199999
25200,142.991,12.41150001,53.27199999
26100,143.422,12.87200001,53.27199999
27000,145.105,13.33880001,53.66199999
27900,150.132,13.74830001,53.27199999
28800,159.911,14.1435,53.27199999
29700,173.085,14.57079999,53.27199999
30600,187.082,14.92430001,53.27199999
31500,150.843,15.3612,52.938
32400,113.665,15.8034,52.27400001
33300,125.169,16.1691,51.558
34200,136.162,16.5795,50.847
35100,146.762,16.86939999,49.16799999
36000,157.318,17.11959999,48.525
36900,167.494,17.41329999,47.19699999
37800,178.39,17.66679999,45.88400001
38700,189.053,18.1356,44.58800001
39600,199.835,18.6528,43.92099999
40500,210.21,18.8265,42.64899999
41400,220.598,19.17609999,42.34599999
42300,230.837,19.61679999,42.04400001
43200,241.076,20.10650001,42.04400001
44100,251.41,20.60120001,42.34599999
45000,261.519,21.23810001,42.64899999
45900,271.514,21.92949999,43.92099999
46800,281.31,22.34889999,45.88400001
47700,291.052,23.00780001,47.832
48600,300.883,23.96300001,51.22899999
49500,310.392,24.5439,54.672
50400,320.071,25.6737,58.96700001
51300,329.789,26.82470001,63.04700001
52200,339.421,27.74030001,66.50900001
53100,349.704,28.66869999,69.99099999
54000,360.867,29.3997,74.781
54900,372.465,30.29769999,78.45099999
55800,383.479,31.5306,81.79599999
56700,396.446,32.78420001,84.792
57600,408.641,34.11410001,89.169
58500,419.304,35.52290001,93.576
59400,430.095,36.89780001,96.762
60300,438.877,38.35329999,97.20099999
61200,445.85,40.07120001,99.999
62100,450.7,41.51679999,101.86
63000,454.02,42.98379999,103.737
63900,457.636,44.2227,102.759
64800,460.488,45.2244,103.737
65700,463.156,45.66560001,104.19
66600,465.417,46.10859999,105.175
67500,467.519,46.36250001,106.621
68400,469.364,46.299,108
69300,471.121,46.5534,109.001
70200,472.849,47.256,111.406
71100,474.486,47.57679999,111.874
72000,476.183,48.09200001,110.938
72900,478.027,48.80420001,110.938
73800,479.874,49.3902,109.465
74700,481.561,50.04470001,108
75600,483.047,51.0333,107.08
76500,484.358,51.56390001,108.538
77400,485.553,52.431,107.539
78300,486.714,53.6415,109.465
79200,488.322,54.93200001,112.421
80100,491.632,56.0286,114.861
81000,497.542,56.5803,118.366
81900,504.632,57.83000001,122.898
82800,512.772,58.59939999,125.442
83700,523.224,58.7397,133.305
84600,534.596,59.373,142.532
85500,546.25,59.3025,149.174
86400,558.2660001,60.64809999,157.702
87300,570.3540002,61.5045,161.121
88200,581.9600001,62.29389999,168.158
89100,590.9300001,62.79849999,179.621
90000,599.753,63.23229999,192.052
90900,608.2600002,63.66740001,202.285
91800,614.9679998,64.39539999,212.88
92700,623.2430001,64.90700001,223.628
93600,637.3930002,65.5674,231.083
94500,657.8569998,66.52610001,235.301
95400,680.7589998,67.63959999,240.23
96300,701.2540002,68.9109,243.733
97200,715.6640002,70.1922,245.893
98100,729.7959999,71.4834,246.576
99000,742.2599998,72.7845,248.061
99900,752.9760002,74.01800001,248.748
100800,765.6,75.10449999,248.061
101700,773.8909998,76.041,245.21
102600,780.6800001,76.9038,240.906
103500,787.402,77.6127,238.096
104400,794.4719998,78.24519999,235.301
105300,802.1020002,78.64160001,230.42
106200,810.3640001,79.27760001,228.328
107100,819.1400003,80.1555,223.628
108000,828.4030002,80.95719999,218.222
108900,837.6289999,81.60099999,216.827
109800,847.2169998,82.16600001,213.518
110700,857.032,82.57059999,208.863
111600,867.0740001,82.48959999,204.883
112500,877.4530001,82.16600001,200.424
113400,888.3420002,82.08519999,194.586
114300,900.0670003,81.9237,188.33
115200,912.4750003,81.35930001,180.895
116100,925.0529998,80.71640001,173.603
117000,938.2760002,80.07549999,169.964
117900,953.937,79.27760001,167.023
118800,973.7769998,78.64160001,164.668
119700,1000.213,78.16599999,164.668
120600,1033.356,77.69169999,165.232
121500,1070.851,77.29730001,167.59
122400,1106.209,76.9038,169.393
123300,1139.359,76.5111,171.779
124200,1169.631,76.2759,174.181
125100,1196.381,76.041,174.76
126000,1217.983,75.65019999,175.34
126900,1236.268,75.5721,173.603
127800,1251.286,75.5721,171.109
128700,1262.304,75.26019999,167.023
129600,1267.798,74.71569999,161.678
130500,1271.347,73.94060001,157.702
131400,1272.994,73.24599999,152.503
132300,1272.063,72.55419999,149.174
133200,1268.855,71.9415,146.944
134100,1263.426,71.2548,143.058
135000,1255.835,70.72269999,139.742
135900,1246.05,70.1922,136.548
136800,1234.327,69.66339999,134.411
137700,1220.829,69.13629999,129.596
138600,1205.764,68.6859,126.02
139500,1189.546,68.23659999,122.409
140400,1172.089,67.78869999,117.805
141300,1153.811,67.3419,114.387
142200,1135.067,66.97059999,110.938
143100,1116.087,66.60009999,107.539
144000,1097.039,66.30429999,103.737
144900,1078.098,65.8617,100.444
145800,1059.769,65.4204,97.20099999
146700,1041.977,64.90700001,94.07900001
147600,1024.835,64.39539999,90.93399999
148500,1008.132,63.9582,88.257
149400,992.497,63.66740001,84.792
150300,977.0620002,63.3048,81.79599999
151200,962.319,62.79849999,79.314
152100,947.8999998,62.22200001,76.40900001
153000,933.906,61.791,73.554
153900,920.0500001,61.3614,71.19099999
154800,907.0679998,60.933,68.79999999
155700,893.9360001,60.5058,66.07899999
156600,881.568,59.93829999,63.82899999
157500,869.5469998,59.232,61.55499999
158400,856.9690003,58.52930001,59.727
159300,844.3370001,57.83000001,57.519
160200,831.8350002,57.13430001,55.746
161100,819.2149999,56.44220001,53.27199999
162000,805.987,55.68489999,51.22899999
162900,792.633,54.93200001,48.846
163800,779.2340001,54.1833,46.512
164700,765.5060001,53.439,44.58800001
165600,751.8110001,52.56489999,42.64899999
166500,737.7860001,51.6969,40.746
167400,723.8739998,50.83490001,39.222
168300,709.8790001,49.91349999,38.01
169200,695.349,48.9342,36.81500001
170100,680.3710001,47.96300001,35.35400001
171000,665.4239999,46.93610001,34.47099999
171900,650.4790001,45.91850001,33.59799999
172800,635.261,44.8476,32.77899999
173700,619.2689998,43.8495,32.19200001
174600,602.5460001,42.73790001,31.65500001
175500,585.1459999,41.6382,31.077
176400,567.4139999,40.5507,31.077
177300,549.49,39.41589999,30.50300001
178200,531.747,38.2947,30.24
179100,513.362,37.1871,29.97699999
180000,495.371,36.09309999,29.412
180900,478.084,35.06949999,29.15199999
181800,461.517,34.00239999,28.89399999
182700,446.571,32.94920001,28.89399999
183600,433.396,31.91000001,28.63599999
184500,422.775,30.9384,28.63599999
185400,413.506,29.97950001,28.89399999
186300,404.714,29.08550001,28.63599999
187200,396.319,28.25450001,28.63599999
188100,388.226,27.43370001,28.89399999
189000,380.792,26.72379999,28.89399999
189900,373.887,26.07159999,28.89399999
190800,367.824,25.4757,28.89399999
191700,362.426,24.93440001,28.89399999
192600,357.733,24.4467,28.63599999
193500,353.681,23.96300001,28.89399999
194400,350.076,23.57889999,28.63599999
195300,346.957,23.24499999,28.63599999
196200,344.156,22.96040001,28.89399999
197100,341.69,22.7244,29.15199999
198000,339.542,22.5363,29.15199999
198900,337.604,22.34889999,29.15199999
199800,335.892,22.16210001,29.412
200700,334.281,22.06899999,29.412
201600,332.807,21.97599999,29.15199999
202500,331.424,21.8832,29.15199999
203400,330.131,21.69800001,29.15199999
204300,328.885,21.55959999,29.15199999
205200,327.697,21.5136,28.89399999
206100,326.578,21.42159999,28.63599999
207000,325.498,21.32979999,28.63599999
207900,324.452,21.28389999,28.33700001
208800,323.457,21.14660001,28.08099999
209700,322.475,21.00969999,27.82599999
210600,321.52,20.87319999,27.57200001
211500,320.584,20.69169999,27.27800001
212400,319.673,20.556,27.02600001
213300,318.784,20.3757,26.775
214200,317.92,20.196,26.52500001
215100,317.079,20.06169999,26.23400001
