Time,Upstream1,Upstream2,Upstream3
153000,782.2752168,67.4344,166.3673
153900,782.2752168,67.6929,165.8294
154800,777.3920529,68.2099,164.7547
155700,780.6471212,68.4695,163.6844
156600,776.2752168,68.7291,162.0861
157500,771.9033124,67.34,160.4878
158400,767.531408,65.9509,158.8895
159300,763.1595036,64.5618,157.2912
160200,758.7875992,63.1727,155.6929
161100,754.4156948,61.7836,154.0946
162000,750.0437904,60.3945,152.4963
162900,745.671886,59.0054,150.898
163800,741.2999816,57.6163,149.2997
164700,736.9280772,56.2272,147.7014
165600,732.5561728,54.8381,146.1031
166500,728.1842684,53.449,144.5048
167400,723.812364,52.0599,142.9065
168300,719.4404596,50.6708,141.3082
169200,715.0685552,49.2817,139.7099
170100,710.6966508,47.8926,138.1116
171000,706.3247464,46.5035,136.5133
171900,701.952842,45.1144,134.915
172800,697.5809376,43.7253,133.3167
173700,693.2090332,42.3362,131.7184
174600,688.8371288,40.9471,130.1201
175500,684.4652244,39.558,128.5218
176400,680.09332,38.1689,126.9235
177300,675.7214156,36.7798,125.3252
178200,671.3495112,35.3907,123.7269
179100,666.9776068,34.0016,122.1286
180000,662.6057024,32.6125,120.5303
180900,658.233798,31.2234,118.932
181800,653.8618936,29.8343,117.3337
182700,649.4899892,28.4452,115.7354
183600,645.1180848,27.0561,114.1371
184500,640.7461804,25.667,112.5388
