Time,Upstream1,Upstream2,Upstream3
0,69.2354,6.2953,14.7835
900,68.8008,6.3428,14.7835
1800,68.5112,6.3903,14.8319
2700,68.3664,6.438,14.8804
3600,68.2217,6.4858,14.929
4500,68.2217,6.5098,15.0265
5400,67.9325,6.5818,15.2716
6300,68.2217,6.6059,15.5609
7200,68.2217,6.6059,15.7739
8100,68.0771,6.6059,16.1166
9000,67.7879,6.63,16.3753
9900,67.6433,6.6784,16.7223
10800,68.5112,6.7268,17.1596
11700,68.0771,6.7754,17.7336
12600,68.2217,6.8486,18.5389
13500,67.7879,6.922,19.5853
14400,68.2217,7.0451,21.3086
15300,67.7879,7.2187,23.8609
16200,68.0771,7.419,27.3262
17100,68.3664,7.6469,32.3491
18000,67.7879,7.8258,38.6266
18900,67.6433,8.0582,45.695
19800,68.5112,8.2931,51.9365
20700,69.0905,8.557,57.3176
21600,68.9456,8.9047,60.5772
22500,69.2354,9.2575,62.2635
23400,69.6703,9.6709,62.8744
24300,69.6703,10.1476,62.5348
25200,70.6865,10.6615,62.0603
26100,71.8499,11.2436,62.2635
27000,72.8698,11.8371,61.8574
27900,73.5993,12.4115,61.5871
28800,75.3536,12.872,61.5871
29700,76.9659,13.3388,62.128
30600,79.4657,13.7483,62.128
31500,83.6032,14.1435,61.7898
32400,91.6509,14.5708,61.1825
33300,103.8798,14.9243,60.9132
34200,122.0012,15.3612,60.0409
35100,140.291,15.8034,59.2394
36000,159.6688,16.1691,57.7135
36900,174.7939,16.5795,56.2664
37800,188.6064,16.8694,54.8968
38700,200.237,17.1196,53.4741
39600,214.4326,17.4133,52.1279
40500,225.07,17.6668,50.4773
41400,237.9475,18.1356,49.345
42300,248.377,18.6528,48.1593
43200,257.334,18.8265,47.7869
44100,268.71,19.1761,47.2301
45000,276.2122,19.6168,47.1066
45900,285.1097,20.1065,47.2918
46800,295.7613,20.6012,48.1593
47700,305.2487,21.2381,49.4077
48600,311.9974,21.9295,51.8091
49500,321.3703,22.3489,54.8318
50400,328.16,23.0078,58.4416
51300,336.5394,23.963,62.9424
52200,344.5929,24.5439,68.182
53100,350.5599,25.6737,73.9914
54000,359.1807,26.8247,80.0322
54900,365.7066,27.7403,86.4575
55800,372.6002,28.6687,93.2806
56700,378.6224,29.3997,99.3229
57600,384.1231,30.2977,105.2489
58500,391.0567,31.5306,111.5367
59400,397.1133,32.7842,117.2746
60300,403.1808,34.1141,122.2571
61200,410.154,35.5229,126.62
62100,417.6794,36.8978,129.3837
63000,423.4238,38.3533,131.0341
63900,428.2779,40.0712,132.342
64800,435.1206,41.5168,131.4696
65700,440.3513,42.9838,131.6439
66600,445.4086,44.2227,132.2547
67500,446.674,45.2244,134.3559
68400,452.2831,45.6656,135.1468
69300,454.6377,46.1086,137.2633
70200,459.1699,46.3625,138.7692
71100,459.8955,46.299,140.9046
72000,464.7972,46.5534,141.7976
72900,468.6138,47.256,141.9764
73800,473.8905,47.5768,140.8154
74700,477.1692,48.092,138.6805
75600,480.6329,48.8042,136.4683
76500,483.7345,49.3902,134.2682
77400,489.5793,50.0447,133.2164
78300,494.3343,51.0333,134.2682
79200,498.1788,51.5639,135.8511
80100,502.9436,52.431,139.9245
81000,511.0193,53.6415,145.6589
81900,515.2467,54.932,151.7446
82800,521.5035,56.0286,156.5253
83700,529.6137,56.5803,159.0272
84600,535.3366,57.83,160.423
85500,540.6968,58.5994,163.1329
86400,548.4711,58.7397,164.2588
87300,556.2585,59.373,166.0466
88200,562.2005,59.3025,165.0108
89100,567.7778,60.6481,168.3143
90000,572.6168,61.5045,172.1167
90900,578.952,62.2939,173.1674
91800,582.4958,62.7985,179.6131
92700,587.5362,63.2323,181.7469
93600,590.7125,63.6674,176.7172
94500,594.8259,64.3954,184.6702
95400,599.6915,64.907,184.6702
96300,601.0023,65.5674,188.3955
97200,610.1873,66.5261,191.1565
98100,612.0638,67.6396,193.3352
99000,620.3285,68.9109,191.4531
99900,623.3371,70.1922,192.2448
100800,632.3733,71.4834,193.236
101700,635.9543,72.7845,190.86
102600,641.8022,74.018,190.9588
103500,652.3822,75.1045,190.5637
104400,666.0149,76.041,188.3955
105300,678.7307,76.9038,186.1377
106200,687.858,77.6127,186.2357
107100,695.4751,78.2452,183.9867
108000,706.9193,78.6416,183.0117
108900,725.6586,79.2776,181.5526
109800,733.1322,80.1555,181.8441
110700,747.9142,80.9572,180.873
111600,761.7678,81.601,179.7099
112500,773.5283,82.166,179.2261
113400,782.411,82.5706,177.8737
114300,794.983,82.4896,175.9476
115200,804.6698,82.166,174.1244
116100,808.5484,82.0852,172.4031
117000,819.6146,81.9237,170.212
117900,828.5581,81.3593,169.2622
118800,839.8511,80.7164,168.7881
119700,844.5294,80.0755,168.6933
120600,849.0156,79.2776,168.5038
121500,847.845,78.6416,168.5038
122400,848.2351,78.166,169.2622
123300,853.3093,77.6917,170.307
124200,849.9912,77.2973,170.4021
125100,854.2856,76.9038,170.4972
126000,851.5525,76.5111,170.1169
126900,847.6499,76.2759,169.1674
127800,847.6499,76.041,168.0303
128700,838.2924,75.6502,165.8581
129600,832.2556,75.5721,163.5079
130500,822.5297,75.5721,160.5161
131400,825.2516,75.2602,158.0991
132300,813.7881,74.7157,155.1412
133200,806.6088,73.9406,152.4769
134100,803.3128,73.246,149.1912
135000,789.7579,72.5542,144.8479
135900,789.371,71.9415,141.4402
136800,779.8995,71.2548,136.7332
137700,772.1777,70.7227,132.6041
138600,769.6701,70.1922,126.8783
139500,757.7241,69.6634,121.7473
140400,747.722,69.1363,116.437
141300,743.8793,68.6859,111.5367
142200,735.0499,68.2366,106.4641
143100,733.7075,67.7887,101.8713
144000,728.9152,67.3419,97.978
144900,719.5332,66.9706,93.8246
145800,713.0318,66.6001,89.8856
146700,709.2107,66.3043,86.6847
147600,702.7205,65.8617,83.0746
148500,694.5224,65.4204,79.9585
149400,687.858,64.907,77.2467
150300,680.6311,64.3954,74.4227
151200,674.932,63.9582,71.6343
152100,666.2045,63.6674,69.3732
153000,662.7931,63.3048,66.7202
153900,653.7061,62.7985,64.4446
154800,647.8454,62.222,62.6705
155700,640.6699,61.791,60.7115
156600,633.127,61.3614,58.7736
157500,621.4566,60.933,57.1858
158400,618.2611,60.5058,55.4172
159300,609.0617,59.9383,54.1192
160200,597.2581,59.232,52.4474
161100,589.7781,58.5293,51.11
162000,579.5114,57.83,49.973
162900,568.8941,57.1343,48.5327
163800,562.2005,56.4422,47.4773
164700,552.1778,55.6849,46.3683
165600,541.2517,54.932,45.4509
166500,532.1973,54.1833,44.2374
167400,522.056,53.439,43.3346
168300,510.8356,52.5649,42.6168
169200,500.3773,51.6969,41.9624
170100,489.3965,50.8349,41.0755
171000,476.076,49.9135,40.4293
171900,464.0706,48.9342,39.6117
172800,448.1207,47.963,38.9733
173700,432.7783,46.9361,38.6843
174600,417.3207,45.9185,38.051
175500,402.2879,44.8476,37.5926
176400,385.0112,43.8495,36.9654
177300,367.826,42.7379,36.6248
178200,354.2515,41.6382,36.4549
179100,340.9135,40.5507,35.9468
180000,330.6014,39.4159,35.6655
180900,319.6321,38.2947,35.385
181800,311.4776,37.1871,35.0494
182700,303.6938,36.0931,34.9936
183600,297.8282,35.0695,34.6592
184500,292.1483,34.0024,34.6036
185400,287.854,32.9492,34.4924
186300,282.026,31.91,34.6036
187200,277.2371,30.9384,34.7705
188100,274.1637,29.9795,34.7148
189000,269.9019,29.0855,34.7705
189900,266.6683,28.2545,34.9378
190800,264.6283,27.4337,34.882
191700,263.0996,26.7238,34.9378
192600,260.7237,26.0716,34.9936
193500,257.8421,25.4757,35.0494
194400,255.6411,24.9344,34.9936
195300,255.3027,24.4467,34.9378
196200,253.7805,23.963,35.0494
197100,253.4424,23.5789,35.273
198000,251.2459,23.245,35.4411
198900,250.0641,22.9604,35.6094
199800,249.2204,22.7244,35.8342
200700,249.3891,22.5363,36.0031
201600,246.6912,22.3489,35.9468
202500,247.3654,22.1621,36.0595
203400,245.3436,22.069,36.1723
204300,245.1752,21.976,36.2288
