Time,Upstream1,Upstream2,Upstream3
0,116.5443048,1.88324,31.72708
900,116.5443048,1.9256,31.85512
1800,116.5443048,1.96796,31.98316
2700,116.5443048,2.01032,32.1112
3600,116.5443048,2.05268,32.23924
4500,122.0200993,2.09504,32.36728
5400,127.4958938,2.1374,32.49532
6300,132.9716883,2.17976,32.62336
7200,138.4474828,2.22212,32.7514
8100,143.9232773,2.26448,32.87944
9000,149.3990718,2.30684,33.00748
9900,154.8748663,2.3492,33.13552
10800,160.3762378,2.39156,33.26356
11700,165.7923525,2.43392,33.3916
12600,171.293724,2.47628,33.51964
13500,176.7950956,2.51864,33.64768
14400,182.2964672,2.561,33.77572
15300,187.7978387,2.60336,33.90376
16200,193.2992103,2.64572,34.0318
17100,198.8005819,2.68808,34.15984
18000,204.3019534,2.73044,34.28788
18900,209.803325,2.7728,34.41592
19800,215.3046966,2.81516,34.54396
20700,220.8060682,2.85752,34.672
21600,226.3074397,2.89988,34.80004
22500,231.8088113,2.94224,34.92808
23400,237.3101829,2.9846,35.05612
24300,242.8115544,3.02696,35.18416
25200,248.312926,3.06932,35.3122
26100,253.8142976,3.11168,35.44024
27000,259.3156692,3.15404,35.56828
27900,264.8170407,3.1964,35.69632
28800,270.3184123,3.23876,35.82436
29700,275.8197839,3.28112,35.9524
30600,281.3211554,3.32348,36.08044
31500,286.822527,3.36584,36.20848
32400,292.3238986,3.4082,36.33652
33300,297.8252702,3.45056,36.46456
34200,303.3266417,3.49292,36.5926
35100,308.8280133,3.53528,36.72064
36000,314.3293849,3.57764,36.84868
36900,319.8307564,3.62,36.97672
37800,325.332128,3.66236,37.10476
38700,330.8334996,3.70472,37.2328
39600,336.3348712,3.74708,37.36084
40500,341.8362427,3.78944,37.48888
41400,341.8362427,3.8318,37.61692
42300,341.8362427,3.87416,37.74496
43200,343.8780549,3.91652,37.873
44100,343.196675,3.95888,38.00104
45000,343.8780549,4.00124,38.12908
45900,344.5594347,4.0436,38.25712
46800,342.515877,4.08596,38.38516
47700,343.196675,4.12832,38.5132
48600,345.9251039,4.17068,38.64124
49500,347.9779717,4.21304,38.76928
50400,344.5594347,4.2554,38.89732
51300,347.2931006,4.29776,39.02536
52200,346.6088113,4.34012,39.1534
53100,346.6088113,4.38248,39.28144
54000,346.6088113,4.42484,39.40948
54900,348.6634248,4.4672,39.53752
55800,347.9779717,4.50956,39.66556
56700,347.9779717,4.50956,39.7936
57600,347.9779717,4.50956,39.92164
58500,351.4116376,4.50956,40.04968
59400,350.723857,4.53178,40.17772
60300,351.4116376,4.53178,40.30576
61200,353.4796342,4.53178,40.4338
62100,356.2447215,4.554,40.56184
63000,361.1080632,4.554,40.68988
63900,363.2010806,4.554,40.81792
64800,368.8103907,4.57633,40.94596
65700,374.4581047,4.59866,41.074
66600,381.5733167,4.59866,41.20204
67500,388.5599335,4.64343,41.33008
68400,394.4433084,4.66587,41.45812
69300,400.3371571,4.66587,41.58616
70200,403.7091438,4.68842,41.7142
71100,408.7743973,4.68842,41.84224
72000,416.3859518,4.71097,41.97028
72900,425.7111388,4.71097,42.09832
73800,429.1081463,4.73352,42.22636
74700,440.1702411,4.73352,42.3544
75600,446.9945137,4.75607,42.48244
76500,457.253616,4.75607,42.61048
77400,461.5368246,4.77873,42.73852
78300,470.975478,4.77873,42.86656
79200,476.1332502,4.8015,42.9946
80100,484.7444722,4.8015,43.12264
81000,488.1944306,4.82427,43.25068
81900,498.5605985,4.82427,43.37872
82800,507.2183707,4.84704,43.50676
83700,515.8941812,4.86981,43.6348
84600,528.9399002,4.86981,43.76284
85500,547.2679135,4.89269,43.89088
86400,566.5478803,4.89269,44.01892
87300,591.198005,4.89269,44.14696
88200,619.5197839,4.91557,44.275
89100,644.4276808,4.91557,44.40304
90000,662.2901912,4.91557,44.63536
90900,678.415212,4.91557,44.86768
91800,684.6983375,4.91557,45.1
92700,693.6860349,4.93856,45.33232
93600,697.2849543,4.93856,46.01795
94500,699.985453,4.93856,46.70358
95400,699.985453,4.93856,47.38921
96300,696.384788,4.96144,48.07484
97200,690.9884456,4.98454,48.76047
98100,690.0894431,5.00753,49.4461
99000,682.0042394,5.05384,50.13173
99900,675.7240233,5.07694,50.81736
100800,668.5552785,5.12347,51.50299
101700,662.2901912,5.19343,52.40565
102600,653.3519534,5.21686,52.6174
103500,645.3197007,5.24029,53.46935
104400,635.518537,5.26383,54.329
105300,619.5197839,5.28737,54.978
106200,614.19734,5.31091,56.28865
107100,604.4543641,5.33456,57.61525
108000,595.6127182,5.35821,59.40935
108900,588.5510391,5.40562,60.5451
109800,580.6182876,5.47701,62.15385
110700,573.578138,5.52475,63.7846
111600,569.1826268,5.57271,64.25485
112500,560.4049875,5.62089,64.96325
113400,556.898005,5.64498,65.4379
114300,548.143059,5.66918,65.2003
115200,541.1506234,5.66918,65.4379
116100,540.2772236,5.66918,65.2003
117000,536.7859518,5.66918,65.4379
117900,531.5536991,5.66918,64.96325
118800,524.5868662,5.69327,64.96325
119700,521.9771405,5.69327,64.25485
120600,519.3691604,5.69327,64.25485
121500,516.7623441,5.69327,64.01945
122400,512.4215295,5.69327,63.7846
123300,508.9523691,5.69327,64.01945
124200,504.6191189,5.69327,64.01945
125100,503.7532835,5.71758,63.31655
126000,498.5605985,5.71758,63.31655
126900,495.1019119,5.74178,62.15385
127800,494.2378221,5.74178,62.15385
128700,489.9202826,5.74178,61.92285
129600,489.0573566,5.74178,61.23205
130500,485.6068163,5.74178,61.00215
131400,484.7444722,5.74178,60.5451
132300,484.7444722,5.71758,60.08915
133200,482.1591854,5.71758,60.08915
134100,480.4368246,5.71758,59.40935
135000,480.4368246,5.69327,59.1833
135900,483.0209476,5.69327,58.50845
136800,477.8538653,5.69327,58.2846
137700,476.9938487,5.69327,58.0613
138600,477.8538653,5.69327,57.61525
