Time,Upstream1,Upstream2,Upstream3
0,85.62226572,1.76,23.544
900,99.62906778,1.76,23.808
1800,113.6358698,1.76,24.072
2700,127.6426719,3.040000065,24.336
3600,141.6494739,4.320000129,24.6
4500,155.656276,5.600000194,24.864
5400,169.6630781,5.680000129,25.128
6300,183.6698801,5.760000065,25.392
7200,197.6766822,5.84,25.656
8100,211.6834842,5.919999935,25.92
9000,225.6902863,5.919999935,26.184
9900,239.6970883,5.919999935,26.448
10800,253.7038904,5.919999935,26.712
11700,267.7106924,6.239999945,26.976
12600,281.7174945,6.559999954,27.24
13500,295.7242966,6.879999963,27.504
14400,309.7310986,7.199999972,27.768
15300,323.7379007,7.519999982,28.032
16200,337.7447027,7.839999991,28.296
17100,351.7515048,8.16,28.56
18000,365.7583068,8.480000009,28.824
18900,379.7651089,8.968000008,29.088
19800,393.7719109,9.456000007,29.352
20700,396.6087105,9.944000006,29.616
21600,399.4455102,10.43200001,29.88
22500,402.2823098,10.92,30.144
23400,405.1191094,11.408,31.208
24300,407.955909,11.896,32.272
25200,410.7927086,12.384,33.336
26100,413.6295082,12.872,33.344
27000,416.4663078,13.36,33.352
27900,419.3031074,13.848,33.36
28800,422.139907,13.8576,33.368
29700,424.9767066,13.8672,33.376
30600,427.8135062,13.8768,33.384
31500,430.6503058,13.8864,33.392
32400,433.4871055,13.896,33.4
33300,436.3239051,13.9056,33.408
34200,439.1607047,13.9152,33.416
35100,441.9975043,13.9248,33.424
36000,444.8343039,13.9344,33.432
36900,447.6711035,13.944,33.44
37800,450.5079031,13.9536,33.448
38700,453.3447027,13.9536,33.456
39600,456.1815023,13.9536,33.464
40500,459.0183019,13.9536,33.472
41400,461.8551015,13.9536,33.48
42300,458.0740886,14.2304,33.488
43200,459.9625153,14.5072,33.496
44100,458.0740886,14.784,33.504
45000,459.0183019,15.0608,33.512
45900,458.0740886,15.3376,34.564
46800,456.1889895,15.6144,35.616
47700,458.0740886,15.8912,36.668
48600,460.9083925,16.168,37.72
49500,460.9083925,16.4448,38.772
50400,459.9625153,16.4448,39.824
51300,461.8551015,16.4448,40.876
52200,465.6510888,16.4448,41.928
53100,465.6510888,16.4448,42.98
54000,465.6510888,19.024,44.032
54900,468.5061904,21.6032,45.084
55800,472.3271348,24.1824,46.136
56700,475.2013702,26.7616,47.188
57600,478.0830927,29.3408,47.188
