Time,Upstream1,Upstream2,Upstream3
0,127.0190388,2.953107145,14.31708478
900,129.2073912,2.953107145,16.45056992
1800,131.3957436,2.953107145,19.8868873
2700,133.584096,2.966607145,25.44977753
3600,135.7724484,2.966607145,32.25484011
4500,137.9608008,2.980142855,40.43852198
5400,140.1491531,2.980142855,49.27597509
6300,142.3375055,2.99367857,58.9249122
7200,144.5258579,3.00725,69.3951518
8100,146.7142103,3.020857145,81.10111735
9000,150.2682954,3.034464285,91.6917917
9900,155.602388,3.06182143,102.7972185
10800,160.8861069,3.075535715,115.5390617
11700,164.4488208,3.103035715,124.5630486
12600,168.6888596,3.158357145,135.4597568
13500,172.8427278,3.18617857,138.3188056
14400,177.3016622,3.242142855,153.5136221
15300,180.4772263,3.27032143,162.8698905
16200,185.41823,3.32692857,176.6491908
17100,190.2782687,3.384,190.3834207
18000,194.7786531,3.4415,195.8347223
18900,199.5989825,3.513964285,200.6615531
19800,205.7274357,3.57242857,204.8479382
20700,212.9259999,3.66092857,208.5165542
21600,218.6430192,3.780392855,210.837064
22500,226.1680514,3.93217857,211.5211256
23400,231.5860361,4.13342857,212.8913691
24300,241.530843,4.38725,213.4402569
25200,251.038299,4.697392855,212.4799995
26100,260.2329566,5.05107143,213.1657566
27000,270.6605882,5.41617857,212.7542176
27900,282.6922094,5.84725,212.068884
28800,294.9382943,6.33075,209.4710651
29700,307.2319287,6.949214285,210.1537102
30600,321.4134241,7.737464285,206.8834918
31500,334.144347,8.51992857,207.5634362
32400,347.0780296,9.15657143,206.6117135
33300,358.2740817,9.72175,205.6613884
34200,368.724648,10.2315,205.2545347
35100,379.4787972,10.75285715,204.8479382
36000,386.5370699,11.31017857,207.5634362
36900,397.6840059,11.88003572,205.1189739
37800,403.7685661,12.46232143,208.9254599
38700,410.2633652,12.95267857,210.2903243
39600,418.3009675,13.47792857,210.0171245
40500,420.367395,14.03939286,210.5636375
41400,428.2958792,14.66603572,211.931902
42300,430.3824504,15.47346429,211.5211256
43200,435.903391,16.70603572,213.8522187
44100,443.9504903,18.55682143,213.3029926
45000,449.155566,21.36385715,215.2272549
45900,455.5511834,25.42196429,213.8522187
46800,464.9202034,31.11025,211.5211256
47700,470.2247171,33.31914286,209.6075374
48600,474.7628878,36.67867857,206.3400494
49500,487.2851959,38.95475,206.4758672
50400,496.714423,41.50960715,206.8834918
51300,504.3923305,43.69596429,204.8479382
52200,515.590758,45.46739286,205.7970635
53100,530.403069,47.11771429,204.9834418
54000,546.8535315,48.45910715,207.9717446
54900,561.3903635,49.78617857,209.6075374
55800,579.0840425,53.61792855,210.7003365
56700,593.748005,56.8995357,210.837064
57600,605.9372715,59.99407145,210.0171245
58500,625.51866,62.8030357,211.247416
59400,637.7473435,65.5640357,214.6769028
60300,652.324766,68.1962143,217.2950767
61200,671.135591,70.54007145,215.5025996
