Time,Upstream1,Upstream2,Upstream3
0,105.7519696,1.382175,10.548
900,108.898131,1.8411,11.0475
1800,112.0442924,2.300025,11.97
2700,115.1904538,2.75895,12.6105
3600,118.3366152,3.217875,13.3215
4500,121.4827766,3.6768,14.0325
5400,124.628938,4.135725,14.7435
6300,127.7750994,4.59465,15.4545
7200,130.9212608,5.053575,16.1655
8100,134.0674222,5.5125,16.8765
9000,137.2135836,5.971425,17.5875
9900,140.359745,6.43035,18.2985
10800,143.5059064,6.889275,19.0095
11700,146.6520678,7.3482,19.7205
12600,149.7982292,7.807125,20.4315
13500,152.9443906,8.26605,21.1425
14400,156.090552,8.724975,21.8535
15300,159.2367134,9.1839,22.5645
16200,162.3828748,9.642825,23.2755
17100,165.5290362,10.10175,23.9865
18000,168.6751976,10.560675,24.6975
18900,171.821359,11.0196,25.4085
19800,174.9675204,11.478525,26.1195
20700,178.1136818,11.93745,26.8305
21600,181.2598432,12.396375,27.5415
22500,184.4060046,12.8553,28.2525
23400,187.552166,13.314225,28.9635
24300,190.6983274,13.77315,29.6745
25200,193.8444888,14.232075,30.3855
26100,196.9906502,14.691,31.0965
27000,200.1368116,15.149925,31.8075
27900,203.282973,15.60885,32.5185
28800,206.4291344,16.067775,33.2295
29700,209.5752958,16.5267,33.9405
30600,212.7214572,16.985625,34.6515
31500,215.8676186,17.44455,35.3625
32400,219.01378,17.903475,36.0735
33300,222.1599414,18.3624,36.7845
34200,225.3061028,18.821325,37.4955
35100,228.4522642,19.28025,38.2065
36000,231.5984256,19.739175,38.9175
36900,234.744587,20.1981,39.6285
37800,237.8907484,20.657025,40.3395
38700,241.0369098,21.11595,41.0505
39600,244.1830712,21.574875,41.7615
40500,247.3292326,22.0338,42.4725
41400,250.475394,22.492725,43.1835
42300,253.6215554,22.95165,48.4227
43200,256.7677168,23.410575,49.5369
44100,259.9138782,23.8695,50.85315
45000,263.0600396,24.328425,51.61365
45900,266.206201,24.78735,53.15175
46800,269.3523624,25.246275,54.71325
47700,272.4985238,25.7052,57.9078
48600,275.6446852,26.164125,62.66565
49500,278.7908466,26.62305,70.5987
50400,279.937008,27.081975,82.00935
51300,281.0831694,27.5409,102.9888
52200,282.2293308,29.0529,138.53565
53100,283.3754922,30.5649,168.13845
54000,284.5216536,32.0769,187.49745
54900,285.667815,33.5889,193.9266
55800,286.8139764,35.1009,194.7357
56700,287.9601378,36.6129,192.5811
57600,289.109252,37.79235,187.49745
58500,291.9896654,38.9853,184.04505
59400,294.8833661,39.708,179.8263
60300,298.9566929,40.43565,176.4225
61200,303.0551181,40.6791,172.26405
62100,310.1397638,40.923,168.13845
63000,313.7101378,41.1678,164.04705
63900,320.3036417,41.1678,158.7285
64800,325.7864173,41.41305,153.96795
65700,328.6259843,41.41305,149.9967
66600,332.8902559,41.65875,145.3266
67500,341.4384843,41.65875,140.94855
68400,357.8937008,41.65875,136.6155
69300,373.7175197,41.65875,132.32835
70200,394.6983268,41.41305,128.322
71100,418.0034449,41.41305,125.2863
72000,438.5231299,41.41305,121.5837
72900,452.5127953,41.41305,118.37475
73800,465.0738189,41.78205,114.74325
74700,479.1599409,42.39945,112.0446
75600,485.1058071,43.14465,109.14525
76500,496.2770669,44.02035,106.7121
77400,497.0231299,45.02925,104.73525
78300,498.5152559,45.79155,102.11895
79200,494.0403543,46.4301,100.17135
80100,495.5314961,46.6866,98.02215
81000,490.3154528,46.8153,95.6763
81900,486.5935039,46.6866,94.4046
82800,482.875,46.3023,92.9286
83700,482.875,45.79155,91.46025
84600,480.6456693,45.02925,89.99955
85500,478.4173228,44.3979,88.5474
86400,479.9025591,43.64415,87.30855
87300,479.1599409,42.7716,86.076
88200,485.1058071,42.02865,85.46175
89100,485.1058071,41.1678,84.44115
90000,491.8051181,40.55715,82.81755
90900,495.5314961,39.82905,82.00935
91800,496.2770669,39.2256,81.6066
92700,497.7691929,38.74545,80.60175
93600,500.007874,38.14875,80.4015
94500,497.7691929,37.5552,79.6014
95400,495.5314961,37.2006,78.80445
96300,497.0231299,36.73035,78.60555
97200,491.0600394,36.3789,77.81175
98100,488.0816929,36.02835,77.41575
99000,485.1058071,35.6796,77.02065
99900,479.1599409,35.2161,76.626
100800,474.7062008,34.98525,75.83895
101700,473.2229331,34.6401,74.85885
102600,469.5167323,34.52535,74.66355
103500,465.0738189,34.2963,74.0781
104400,459.8966535,34.0677,73.68885
105300,454.726378,33.84,73.1061
106200,451.0378937,33.6123,72.5247
107100,444.4074803,33.3855,71.9451
108000,442.1998031,33.1596,71.9451
