Time,Upstream1,Upstream2,Upstream3
0,61.814882,11.99936,22.77664
900,67.9417548,12.152,23.01904
1800,74.0686276,12.30464,23.26144
2700,80.1955004,12.45728,23.50384
3600,86.3223732,12.60992,23.74624
4500,92.449246,12.76256,23.98864
5400,98.5761188,12.9152,24.23104
6300,104.7029916,13.06784,24.47344
7200,110.8298644,13.22048,24.71584
8100,116.9567372,13.37312,24.95824
9000,123.08361,13.52576,25.20064
9900,129.2104828,13.6784,25.44304
10800,135.3373556,13.83104,25.68544
11700,141.4642284,13.98368,25.92784
12600,147.5911012,14.13632,26.17024
13500,153.717974,14.28896,26.41264
14400,159.8448468,14.4416,26.65504
15300,165.9717196,14.59424,26.89744
16200,172.0985924,14.74688,27.13984
17100,178.2254652,14.89952,27.38224
18000,184.352338,15.05216,27.62464
18900,190.4792108,15.2048,27.86704
19800,196.6060836,15.35744,28.10944
20700,202.7329564,15.51008,28.35184
21600,208.8598292,15.66272,28.59424
22500,211.986702,15.81536,28.83664
23400,215.1135748,15.968,29.07904
24300,218.2404476,16.12064,29.32144
25200,221.3673204,16.27328,29.56384
26100,224.4941932,16.42592,29.80624
27000,227.621066,16.57856,30.04864
27900,230.7479388,16.7312,30.29104
28800,233.8748116,16.88384,30.53344
29700,237.0016844,17.03648,30.77584
30600,240.1285572,17.18912,31.01824
31500,243.25543,17.34176,31.26064
32400,246.3823028,17.4944,31.50304
33300,249.5091756,17.64704,31.74544
34200,252.6360484,17.79968,31.98784
35100,255.7629212,17.95232,32.23024
36000,258.889794,18.10496,32.47264
36900,262.0166668,18.2576,32.71504
37800,265.1435396,18.41024,32.95744
38700,268.2704124,18.56288,33.19984
39600,271.3972852,18.71552,33.44224
40500,274.524158,18.86816,33.68464
41400,277.6510308,19.0208,33.92704
42300,280.7779036,19.17344,34.16944
43200,281.9047764,19.32608,34.41184
44100,283.0316492,19.47872,34.65424
45000,284.158522,19.63136,34.89664
45900,285.2853948,19.784,35.13904
46800,286.4122676,19.93664,35.38144
47700,287.5391404,20.08928,35.62384
48600,288.6660132,20.24192,35.86624
49500,289.792886,20.39456,36.10864
50400,290.9197588,20.5472,36.35104
51300,292.0466316,20.69984,36.59344
52200,293.1735044,20.85248,36.83584
53100,294.3003772,21.00512,37.07824
54000,295.42725,21.15776,37.32064
54900,296.5541228,21.3104,37.56304
55800,297.6809956,21.46304,37.80544
56700,298.8078684,21.61568,38.04784
57600,299.9347413,21.76832,38.29024
58500,301.0616141,21.92096,38.53264
59400,302.188487,22.0736,38.77504
60300,303.3153598,22.22624,39.01744
61200,304.4422327,22.37888,39.25984
62100,305.5691055,22.53152,39.50224
63000,306.6959784,22.68416,39.74464
63900,307.8228512,22.8368,39.98704
64800,308.9497241,22.98944,40.22944
65700,310.0765969,23.14208,40.47184
66600,311.2034698,23.29472,40.71424
67500,312.3303426,23.44736,40.95664
68400,313.4572155,23.6,41.19904
69300,314.7988635,23.75264,41.44144
70200,315.3352276,23.62672,41.68384
71100,316.9449757,23.4384,42.41376
72000,318.0185236,23.31328,43.06608
72900,317.2133217,23.18832,44.21584
73800,317.7501776,23.12592,45.37568
74700,318.2870335,23.06368,47.21872
75600,318.0185236,23.06368,50.20112
76500,318.2870335,23.12592,53.15648
77400,319.0927272,23.18832,56.97504
78300,320.7046063,23.37584,61.4336
79200,320.9732801,23.62672,66.47632
80100,324.7386482,23.94208,72.81904
81000,327.4312879,24.32272,78.85184
81900,330.9355226,24.77008,85.14688
82800,334.7144965,25.15616,90.44576
83700,341.2041419,25.67488,94.25056
84600,350.6947708,26.13232,98.43136
85500,360.2158898,26.59328,101.6888
86400,370.8603901,26.99104,104.54064
87300,385.1094476,27.39136,106.8632
88200,403.2850117,27.72672,108.30976
89100,420.4481722,28.06384,109.20304
90000,439.0892847,28.47072,108.42128
90900,456.9838807,28.81152,107.41888
91800,478.9054696,29.15408,106.5304
92700,498.6809464,29.63664,104.65072
93600,521.9649199,30.0528,103.77024
94500,541.939894,30.47152,102.45392
95400,562.8641604,30.96304,101.14336
96300,578.6905087,31.45776,100.3816
97200,596.8819737,31.95584,98.75552
98100,612.5273482,32.45728,97.3536
99000,631.4227091,32.8896,96.17248
99900,643.959729,33.39712,95.5304
100800,657.6961915,33.83456,94.25056
101700,670.8800612,34.27456,92.87056
102600,687.9181465,34.64304,92.02464
103500,701.1718485,35.01312,90.97104
104400,716.5244522,35.3104,89.60752
105300,731.3234796,35.60864,87.62704
106200,749.1292279,35.908,85.86784
107100,766.0912518,36.13328,83.50672
108000,788.1787334,36.50992,80.76368
108900,807.0409814,36.81248,79.05232
109800,828.0606524,37.192,76.856
110700,843.1136003,37.49696,74.484
111600,855.4807934,37.87952,72.72144
112500,866.3574122,38.18672,71.06992
113400,876.0390143,38.6496,68.76032
114300,884.2179116,38.95936,67.04496
115200,888.7655319,39.42608,65.62656
116100,889.9787443,39.8168,63.75152
117000,893.922955,40.13056,61.9872
117900,895.440577,40.52416,60.78976
118800,899.9949183,40.91936,59.50896
119700,896.351183,41.39568,58.32784
120600,896.654773,41.71456,57.4248
121500,896.047593,42.03456,56.25776
122400,894.2263811,42.27504,55.54368
123300,891.7989727,42.35552,54.65552
124200,892.4056609,42.43584,53.94832
125100,892.1022349,42.5968,53.24432
126000,887.2493853,42.5968,53.0688
126900,882.0965521,42.5968,52.54336
127800,878.4615048,42.43584,52.01984
128700,875.1308672,42.27504,51.4112
129600,869.3815092,41.9544,50.97792
130500,865.148134,41.71456,50.20112
131400,862.1256762,41.31616,49.42832
132300,856.3864816,40.91936,48.83008
133200,852.4624337,40.52416,48.14928
134100,844.3191082,40.052,47.64096
135000,840.7029124,39.58224,46.96592
135900,836.4862576,39.03696,46.5456
136800,828.662095,38.57232,45.95936
137700,824.1521775,38.03296,45.54224
138600,819.3447353,37.49696,44.87744
139500,810.0398339,36.96416,44.21584
140400,801.9460139,36.4344,43.8864
141300,797.4534725,35.908,43.3936
142200,786.9828971,35.3848,42.98448
143100,777.4240752,34.8648,42.41376
144000,767.5813344,34.34816,42.0888
144900,755.6705098,33.83456,41.60304
145800,743.4851101,33.25168,41.28016
146700,728.0646413,32.74528,40.95824
147600,713.5690399,32.1704,40.3968
148500,689.3893776,31.67088,39.99744
149400,666.7752035,31.17472,39.7584
150300,644.2516802,30.61152,39.44048
151200,618.624556,30.1224,39.12336
152100,591.6776679,29.63664,38.88624
153000,568.0379761,29.08544,38.41312
153900,544.2282935,28.60688,38.02048
154800,524.5282225,28.13152,37.94208
155700,508.3199279,27.65952,37.55104
156600,493.3038632,27.19088,37.2392
157500,480.5968526,26.7256,37.16144
158400,470.7409978,26.19808,36.85072
159300,459.226545,25.74,36.5408
160200,450.2634282,25.28544,36.46352
161100,441.0422928,24.77008,36.0776
162000,432.9576526,24.3864,35.76992
162900,426.0026228,23.94208,35.61648
163800,417.9514234,23.50112,35.4632
164700,411.5791487,23.12592,35.23376
165600,405.2185126,22.75328,35.00464
166500,398.5939566,22.40416,34.77616
167400,393.9094585,22.1496,34.62416
168300,389.5064204,21.896,34.32064
169200,383.7365718,21.64352,34.16928
170100,378.7991367,21.39216,34.01824
171000,373.8692421,21.14192,33.94272
171900,370.3135348,20.94256,33.56608
172800,365.1241462,20.69424,33.49088
173700,362.9416425,20.49632,33.26576
174600,357.7647123,20.2992,33.19088
175500,354.7715972,20.10288,32.74256
176400,351.7812688,19.9072,32.81712
177300,347.1661111,19.71216,32.4448
178200,346.0812524,19.51792,32.5192
179100,341.2041419,19.32432,32.37056
180000,339.0393421,19.17968,32.148
180900,336.6057046,18.98736,31.99984
181800,333.6342276,18.84368,31.852
182700,331.205344,18.65264,31.63072
183600,328.5089339,18.50976,31.63072
184500,325.546145,18.36736,31.33648
185400,322.5863068,18.22544,31.11632
186300,320.9732801,18.08384,31.11632
187200,318.0185236,17.94272,31.04304
188100,316.4082837,17.8488,30.89664
189000,313.1905907,17.70848,30.6048
189900,311.3154472,17.56832,30.6048
190800,308.9063986,17.4752,30.45904
191700,307.5690946,17.33584,30.24112
